id,fecha_hora,numero,jugadores_presentes,velocity,direction,strategy,fichas,ganancia,saldo,opcion_apuesta,categoria,aus_rojo,aus_negro,aus_par,aus_impar,aus_1-18,aus_19-36
127.0,2025-05-10 16:18:21,15.0,0,53.26898128217496,horario,martingala,2.0,-1000.0,8000.0,par,negro,1,2,105,105,105,105
128.0,2025-05-10 16:19:04,22.0,0,46.32701395016688,antihorario,martingala,4.0,4000.0,10000.0,negro,negro,2,1,106,106,106,106
129.0,2025-05-10 16:19:45,10.0,0,54.17918195658651,horario,martingala,1.0,1000.0,10500.0,negro,negro,3,1,107,107,107,107
130.0,2025-05-10 16:20:31,25.0,0,55.87844878385901,antihorario,martingala,1.0,-500.0,9500.0,negro,rojo,4,1,108,108,108,108
131.0,2025-05-10 16:21:10,22.0,0,50.38531534947183,horario,martingala,2.0,2000.0,10500.0,negro,negro,1,2,109,109,109,109
132.0,2025-05-10 16:21:55,25.0,0,46.98849110497946,antihorario,martingala,1.0,1000.0,11000.0,19-36,rojo,2,1,110,110,110,110
133.0,2025-05-10 16:22:40,31.0,0,45.17742140326567,horario,martingala,1.0,1000.0,11500.0,19-36,negro,1,2,111,111,111,111
134.0,2025-05-10 16:29:03,24.0,10,53.40727430822265,antihorario,martingala,2.0,2000.0,11000.0,19-36,negro,2,1,112,112,112,112
135.0,2025-05-10 16:29:46,26.0,10,47.298678827811955,horario,martingala,1.0,1000.0,11500.0,negro,negro,3,1,113,113,113,113
136.0,2025-05-10 16:30:28,28.0,10,46.32848195788571,antihorario,martingala,1.0,1000.0,12000.0,negro,negro,4,1,114,114,114,114
137.0,2025-05-10 16:31:12,31.0,13,55.19151159297417,horario,martingala,1.0,1000.0,12500.0,negro,negro,5,1,115,115,115,115
138.0,2025-05-10 16:32:00,0.0,10,52.886253381081765,antihorario,martingala,1.0,1000.0,13000.0,negro,0,6,1,116,116,116,116
139.0,2025-05-10 16:32:40,3.0,10,42.94864255188588,sin cambio,martingala,1.0,-500.0,12000.0,negro,rojo,7,2,117,117,117,117
140.0,2025-05-10 16:33:19,34.0,12,56.245784655774735,antihorario,martingala,2.0,-1000.0,10000.0,negro,rojo,1,3,118,118,118,118
141.0,2025-05-10 16:34:03,19.0,10,43.39066468713022,horario,martingala,4.0,-2000.0,6000.0,negro,rojo,1,4,119,119,119,119
143.0,2025-05-10 16:40:03,21.0,13,56.43871104379112,horario,martingala,4.0,4000.0,10000.0,impar,rojo,1,5,120,120,120,120
144.0,2025-05-10 16:40:47,35.0,10,42.26090360887835,antihorario,martingala,1.0,1000.0,10500.0,impar,negro,1,6,121,121,121,121
146.0,2025-05-10 16:47:52,33.0,0,49.429291218704066,horario,martingala,1.0,-500.0,10000.0,rojo,negro,2,1,122,122,122,122
147.0,2025-05-10 16:48:39,21.0,0,49.31350006786079,antihorario,martingala,2.0,2000.0,11000.0,rojo,rojo,3,1,123,123,123,123
148.0,2025-05-10 16:49:19,13.0,0,46.19132185028278,horario,martingala,1.0,-500.0,10000.0,rojo,negro,1,2,124,124,124,124
149.0,2025-05-10 16:50:02,4.0,0,46.19894140520418,antihorario,martingala,2.0,-1000.0,8000.0,rojo,negro,2,1,125,125,125,125
150.0,2025-05-10 16:54:20,29.0,10,62.79690802138697,antihorario,martingala,2.0,-1000.0,8000.0,rojo,negro,3,1,126,126,126,126
151.0,2025-05-10 16:55:00,12.0,13,53.70127861817849,horario,martingala,4.0,4000.0,10000.0,rojo,rojo,4,1,127,127,127,127
152.0,2025-05-10 16:55:43,22.0,10,52.94835538676491,antihorario,martingala,1.0,-500.0,9000.0,rojo,negro,1,2,128,128,128,128
153.0,2025-05-10 16:56:26,23.0,12,45.76147229330119,horario,martingala,2.0,2000.0,10000.0,rojo,rojo,2,1,129,129,129,129
154.0,2025-05-10 17:12:51,15.0,10,50.99344821136521,horario,martingala,2.0,-1000.0,8000.0,rojo,negro,1,2,130,130,130,130
155.0,2025-05-10 17:13:31,23.0,12,44.78395893968796,antihorario,martingala,4.0,4000.0,10000.0,rojo,rojo,2,1,131,131,131,131
156.0,2025-05-10 17:14:14,14.0,10,44.96749064221905,horario,martingala,1.0,1000.0,10500.0,rojo,rojo,1,2,132,132,132,132
157.0,2025-05-10 17:15:01,2.0,10,45.61639297872248,antihorario,martingala,1.0,-500.0,9500.0,rojo,negro,1,3,133,133,133,133
158.0,2025-05-10 17:15:44,1.0,10,40.55489300858669,horario,martingala,2.0,2000.0,10500.0,rojo,rojo,2,1,134,134,134,134
159.0,2025-05-10 17:16:24,28.0,10,39.04965915989534,antihorario,martingala,1.0,-500.0,9500.0,rojo,negro,1,2,135,135,135,135
160.0,2025-05-10 17:17:06,5.0,10,53.44316948081334,horario,martingala,2.0,2000.0,10500.0,rojo,rojo,2,1,136,136,136,136
161.0,2025-05-10 17:17:50,9.0,10,68.39938716677744,antihorario,martingala,1.0,1000.0,11000.0,rojo,rojo,1,2,137,137,137,137
162.0,2025-05-10 17:18:32,5.0,10,59.82786323831858,horario,martingala,1.0,1000.0,11500.0,rojo,rojo,1,3,138,138,138,138
163.0,2025-05-10 17:19:15,32.0,10,59.42464891810204,antihorario,martingala,1.0,1000.0,12000.0,rojo,rojo,1,4,139,139,139,139
164.0,2025-05-10 17:20:01,19.0,10,43.5336022527253,horario,martingala,1.0,1000.0,12500.0,rojo,rojo,1,5,140,140,140,140
165.0,2025-05-10 17:20:43,28.0,10,54.51785105921328,antihorario,martingala,1.0,-500.0,11500.0,rojo,negro,1,6,141,141,141,141
166.0,2025-05-10 17:21:28,7.0,10,60.110864398626745,horario,martingala,2.0,2000.0,12500.0,rojo,rojo,2,1,142,142,142,142
167.0,2025-05-10 17:22:08,28.0,10,62.200163989045016,sin cambio,martingala,1.0,-500.0,11500.0,rojo,negro,1,2,143,143,143,143
168.0,2025-05-10 17:22:51,11.0,10,47.335035509530606,horario,martingala,2.0,-1000.0,9500.0,rojo,negro,2,1,144,144,144,144
