state_dir_bin,state_jugadores,state_pos_0,state_pos_1,state_pos_2,state_pos_3,state_pos_4,state_pos_5,state_pos_6,state_pos_7,state_pos_8,state_pos_9,state_velocidad,accion,recompensa,next_state_dir_bin,next_state_jugadores,next_state_pos_0,next_state_pos_1,next_state_pos_2,next_state_pos_3,next_state_pos_4,next_state_pos_5,next_state_pos_6,next_state_pos_7,next_state_pos_8,next_state_pos_9,next_state_velocidad
1,0.6,0.6111111111111112,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.5388571068272016,0,-1.0,0,0.6,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.43027569945705785
0,0.6,0.05555555555555555,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.43027569945705785,1,-1.0,1,0.6,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5675102689631086
1,0.6,0.5,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5675102689631086,0,35.0,0,0.6,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.5790950451532266
0,0.6,0.5833333333333334,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.5790950451532266,0,-1.0,1,0.6,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.5739179595481805
1,0.6,0.3055555555555556,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.5739179595481805,1,-1.0,0,0.6,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.5019884225732507
0,0.6,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.5019884225732507,0,35.0,1,0.6,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.4956814000899058
1,0.6,0.4444444444444444,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.4956814000899058,0,35.0,1,0.0,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.47901298496170486
1,0.0,0.4166666666666667,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.47901298496170486,0,35.0,0,0.0,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,0.4909111466892201
0,0.0,0.08333333333333333,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,0.4909111466892201,0,35.0,1,0.0,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.5703589474488708
1,0.0,0.4444444444444444,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.5703589474488708,0,35.0,1,1.4,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.486006525441851
